scenario,config,alpha,T,temporal,stopped_epoch,val_acc,test_acc,precision,recall,f1,fps,fps_cpu,fps_pure_gpu,fps_pure_cpu
Teacher (VideoMAE),ep_max=800,-,-,-,56,0.9198113207547168,0.8923766816143498,0.8923039446710543,0.8914166509818683,0.8905712994976923,122.16,18.48,1673.79,26.69
Student (MobileViT) no KD,ep_max=300_mean,-,-,mean,89,0.8679245283018868,0.8116591928251121,0.8275103693299183,0.8094629525064307,0.8066710148101363,126.69,19.98,3350.54,31.65
Student+KD,StandardKD_a=0.3_T=7.0,0.3,7.0,mean,41,0.929245283018868,0.8565022421524664,0.8538286289839085,0.8535322165756949,0.8526032615108117,136.56,19.97,3347.25,32.1
Student+KD,StandardKD_a=0.3_T=11.0,0.3,11.0,mean,53,0.9150943396226416,0.8609865470852018,0.8609516977522716,0.8590444820879604,0.858192218768439,125.93,19.94,3346.84,31.44
Student+KD,StandardKD_a=0.3_T=15.0,0.3,15.0,mean,48,0.9198113207547168,0.8699551569506726,0.8699409632920272,0.8680111675763851,0.8684522982597501,122.18,20.03,3346.98,31.59
Student+KD,StandardKD_a=0.45_T=7.0,0.45,7.0,mean,49,0.929245283018868,0.8430493273542601,0.8417647884030863,0.8411613024656504,0.8401337273454217,100.18,20.25,3346.49,31.22
Student+KD,StandardKD_a=0.45_T=11.0,0.45,11.0,mean,50,0.9150943396226416,0.8609865470852018,0.8582796458860289,0.8586071899115378,0.8581312399523335,121.23,21.05,3346.31,31.43
Student+KD,StandardKD_a=0.45_T=15.0,0.45,15.0,mean,64,0.9198113207547168,0.8699551569506726,0.87107367475292,0.8670863918690006,0.8667215592698027,125.75,20.0,3343.94,31.38
Student+KD,StandardKD_a=0.6_T=7.0,0.6,7.0,mean,47,0.9198113207547168,0.8385650224215246,0.841402575587906,0.8376460254721124,0.8368069840075976,114.9,19.5,3344.26,31.47
Student+KD,StandardKD_a=0.6_T=11.0,0.6,11.0,mean,47,0.9245283018867924,0.8340807174887892,0.8321095756461911,0.8323502101762971,0.831942713178579,115.29,19.53,3343.31,31.26
Student+KD,StandardKD_a=0.6_T=15.0,0.6,15.0,mean,38,0.9150943396226416,0.8161434977578476,0.8193416596027984,0.8133948177426438,0.8137755281965043,118.75,19.88,3341.82,31.5
Student+KD,PureKD_a=1.0_T=7.0,1.0,7.0,mean,43,0.9245283018867924,0.8654708520179372,0.86594809750165,0.8635899366334149,0.8637705059265833,127.06,20.83,3343.27,31.41
Student+KD,PureKD_a=1.0_T=11.0,1.0,11.0,mean,43,0.8962264150943396,0.8295964125560538,0.8330298980057138,0.8262218457870631,0.8260599552906577,117.15,19.54,3343.17,31.22
Student+KD,PureKD_a=1.0_T=15.0,1.0,15.0,mean,138,0.9339622641509434,0.874439461883408,0.8720448680780244,0.8719449149883932,0.8714829565310005,136.1,20.09,3346.75,31.48
Student+KD,StandardKD_LRCN_a=0.3_T=7.0,0.3,7.0,lstm,67,0.9245283018867924,0.8251121076233184,0.8321612840550927,0.8245059288537548,0.8242632434096802,120.32,20.0,3329.94,31.37
Student+KD,StandardKD_LRCN_a=0.3_T=11.0,0.3,11.0,lstm,42,0.910377358490566,0.8430493273542601,0.8528574092235418,0.8422103017755191,0.8419056203605514,121.25,20.1,3330.94,31.56
Student+KD,StandardKD_LRCN_a=0.3_T=15.0,0.3,15.0,lstm,68,0.929245283018868,0.8654708520179372,0.8627528833427869,0.8633734864169647,0.8625062001118078,110.83,20.26,3329.89,31.43
Student+KD,StandardKD_LRCN_a=0.45_T=7.0,0.45,7.0,lstm,109,0.9481132075471698,0.8878923766816144,0.8916816127155915,0.8857155404981493,0.8868385890890078,126.81,19.61,3328.36,31.33
Student+KD,StandardKD_LRCN_a=0.45_T=11.0,0.45,11.0,lstm,59,0.9339622641509434,0.8071748878923767,0.8115879233078364,0.8058134136395007,0.8033884331014061,136.96,19.94,3328.22,31.41
Student+KD,StandardKD_LRCN_a=0.45_T=15.0,0.45,15.0,lstm,57,0.9198113207547168,0.8340807174887892,0.8356488777795628,0.8333759959846917,0.8331936391460119,123.0,18.4,3327.08,31.65
Student+KD,StandardKD_LRCN_a=0.6_T=7.0,0.6,7.0,lstm,79,0.9433962264150944,0.8565022421524664,0.8582674554892001,0.8560399021268588,0.8547437319610924,130.5,19.75,3327.41,31.58
Student+KD,StandardKD_LRCN_a=0.6_T=11.0,0.6,11.0,lstm,46,0.9339622641509434,0.8475336322869955,0.8518954529180093,0.8462450592885375,0.8446160278155033,131.62,19.86,3327.64,31.21
Student+KD,StandardKD_LRCN_a=0.6_T=15.0,0.6,15.0,lstm,82,0.929245283018868,0.852017937219731,0.8529151054361137,0.8497960976221846,0.8488746364927724,124.32,18.57,3326.35,31.34
Student+KD,PureKD_LRCN_a=1.0_T=7.0,1.0,7.0,lstm,50,0.929245283018868,0.8609865470852018,0.8605878547139719,0.8586115816550599,0.8577143778207608,123.73,19.79,3330.98,31.43
Student+KD,PureKD_LRCN_a=1.0_T=11.0,1.0,11.0,lstm,61,0.9245283018867924,0.852017937219731,0.8557155436854685,0.8498425246251333,0.8488415946521053,126.97,20.45,3330.84,31.4
Student+KD,PureKD_LRCN_a=1.0_T=15.0,1.0,15.0,lstm,62,0.9433962264150944,0.852017937219731,0.8534297052154196,0.8510847606499781,0.8492831378389163,145.69,20.14,3330.07,31.31
